dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-3.099912,-1.000088,0.000273,0.054585,5.458457,545.845696,5.497652
0.010000,-3.099141,-1.000860,0.001365,0.163754,10.916914,545.845696,5.496462
0.010000,-3.097409,-1.002602,0.003821,0.327507,16.375371,545.845696,5.493797
0.010000,-3.094341,-1.005709,0.008188,0.545846,21.833828,545.845696,5.489096
0.010000,-3.089576,-1.010593,0.015011,0.818769,27.292285,545.845696,5.481847
0.010000,-3.082776,-1.017685,0.024836,1.146276,32.750742,545.845696,5.471616
0.010000,-3.073637,-1.027448,0.038209,1.528368,38.209199,545.845696,5.458085
0.010000,-3.061896,-1.040380,0.055676,1.965045,43.667656,545.845696,5.441103
0.010000,-3.047346,-1.057023,0.077783,2.456306,49.126113,545.845696,5.420734
0.010000,-3.029838,-1.077959,0.105075,3.002151,54.584570,545.845696,5.397316
0.010000,-3.009452,-1.103590,0.137826,3.547997,54.584570,0.000000,5.371710
0.010000,-2.986458,-1.134104,0.176035,4.093843,54.584570,0.000000,5.345205
0.010000,-2.961105,-1.169657,0.219703,4.639688,54.584570,0.000000,5.319218
0.010000,-2.933595,-1.210357,0.268829,5.185534,54.584570,-0.000000,5.295247
0.010000,-2.904043,-1.256248,0.323414,5.731380,54.584570,0.000000,5.274846
0.010000,-2.872443,-1.307303,0.383457,6.277226,54.584570,0.000000,5.259628
0.010000,-2.838633,-1.363404,0.448958,6.823071,54.584570,-0.000000,5.251315
0.010000,-2.802250,-1.424326,0.519918,7.368917,54.584570,0.000000,5.251847
0.010000,-2.762677,-1.489700,0.596336,7.914763,54.584570,-0.000000,5.263542
0.010000,-2.718987,-1.558943,0.678213,8.460608,54.584570,0.000000,5.289322
0.010000,-2.669872,-1.631151,0.765549,9.006454,54.584570,-0.000000,5.332950
0.010000,-2.613587,-1.704904,0.858342,9.552300,54.584570,-0.000000,5.399115
0.010000,-2.547975,-1.777990,0.956595,10.098145,54.584570,0.000000,5.492906
0.010000,-2.470739,-1.847102,1.060305,10.643991,54.584570,0.000000,5.617681
0.010000,-2.380136,-1.907812,1.169474,11.189837,54.584570,-0.000000,5.770660
0.010000,-2.276238,-1.955260,1.283829,11.681098,49.126113,-545.845696,5.938590
0.010000,-2.161414,-1.985982,1.402823,12.117774,43.667656,-545.845696,6.101484
0.010000,-2.039147,-1.999242,1.525912,12.499866,38.209199,-545.845696,6.243967
0.010000,-1.912990,-1.997008,1.652548,12.827374,32.750742,-545.845696,0.070526
0.010000,-1.784555,-1.980033,1.782186,13.100297,27.292285,-545.845696,0.196705
0.010000,-1.657457,-1.944537,1.914281,13.318635,21.833828,-545.845696,0.352284
0.010000,-1.536401,-1.887486,2.048286,13.482389,16.375371,-545.845696,0.530754
0.010000,-1.426603,-1.808630,2.183656,13.591558,10.916914,-545.845696,0.713348
0.010000,-1.331602,-1.711261,2.319844,13.646142,5.458457,-545.845696,0.877302
0.010000,-1.251980,-1.600862,2.456059,13.596876,-4.926649,-1038.510593,1.008851
0.010000,-1.185813,-1.482735,2.591509,13.493025,-10.385106,-545.845696,1.106301
0.010000,-1.130102,-1.360742,2.725647,13.334589,-15.843563,-545.845696,1.174198
0.010000,-1.081905,-1.237565,2.857928,13.121569,-21.302020,-545.845696,1.217961
0.010000,-1.038669,-1.115098,2.987805,12.853964,-26.760477,-545.845696,1.241927
0.010000,-0.998258,-0.994775,3.114734,12.531775,-32.218934,-545.845696,1.249031
0.010000,-0.958899,-0.877785,3.238168,12.155001,-37.677391,-545.845696,1.241012
0.010000,-0.919118,-0.765217,3.357561,11.723643,-43.135848,-545.845696,1.218708
0.010000,-0.877715,-0.658142,3.472368,11.237699,-48.594305,-545.845696,1.182358
0.010000,-0.833775,-0.557667,3.582042,10.697172,-54.052762,-545.845696,1.131946
0.010000,-0.786607,-0.464727,3.686285,10.151326,-54.584570,-53.180798,1.067482
0.010000,-0.735753,-0.380067,3.785069,9.605480,-54.584570,0.000000,0.989357
0.010000,-0.681148,-0.304423,3.878394,9.059635,-54.584570,-0.000000,0.899007
0.010000,-0.623204,-0.238418,3.966261,8.513789,-54.584570,0.000000,0.799433
0.010000,-0.562825,-0.182388,4.048670,7.967943,-54.584570,0.000000,0.695209
0.010000,-0.501306,-0.136220,4.125620,7.422098,-54.584570,-0.000000,0.591730
0.010000,-0.440115,-0.099306,4.197112,6.876252,-54.584570,0.000000,0.493955
0.010000,-0.380658,-0.070628,4.263145,6.330406,-54.584570,0.000000,0.405372
0.010000,-0.324113,-0.048945,4.323720,5.784561,-54.584570,-0.000000,0.327686
0.010000,-0.271372,-0.032973,4.378837,5.238715,-54.584570,0.000000,0.261150
0.010000,-0.223061,-0.021518,4.428494,4.692869,-54.584570,-0.000000,0.205121
0.010000,-0.179592,-0.013537,4.472694,4.147024,-54.584570,0.000000,0.158553
0.010000,-0.141228,-0.008160,4.511435,3.601178,-54.584570,0.000000,0.120312
0.010000,-0.108129,-0.004683,4.544717,3.055332,-54.584570,-0.000000,0.089350
0.010000,-0.080388,-0.002543,4.572542,2.509486,-54.584570,0.000000,0.064769
0.010000,-0.057811,-0.001297,4.595154,2.012907,-49.657921,492.664898,0.045639
0.010000,-0.039905,-0.000611,4.613073,1.570913,-44.199464,545.845696,0.031002
0.010000,-0.026137,-0.000260,4.626845,1.183503,-38.741007,545.845696,0.020059
0.010000,-0.015968,-0.000097,4.637016,0.850677,-33.282550,545.845696,0.012145
0.010000,-0.008852,-0.000030,4.644131,0.572436,-27.824093,545.845696,0.006691
0.010000,-0.004246,-0.000007,4.648737,0.348780,-22.365636,545.845696,0.003197
0.010000,-0.001604,-0.000001,4.651380,0.179708,-16.907179,545.845696,0.001205
0.010000,-0.000379,-0.000000,4.652604,0.065221,-11.448722,545.845696,0.000285
0.010000,-0.000027,-0.000000,4.652957,0.005318,-5.990265,545.845696,0.000020
0.010000,0.000000,0.000000,4.652984,0.000000,-0.531808,545.845696,6.283185
0.010000,0.000000,0.000000,4.652984,0.000000,0.000000,53.180798,6.283185
